id;concept;user_id;starting_date;ending_date;type_id
1;Games Home Loan Account Direct;68211;2020-02-19;2020-02-20;1
2;Cheese Awesome;26062;2020-02-20;2020-02-20;2
3;optical;2872;2020-02-20;2020-02-20;3
4;Bike;88295;2020-02-20;2020-02-20;4
5;Direct;24442;2020-02-19;2020-02-20;5
6;Buckinghamshire USB;94464;2020-02-20;2020-02-20;6
7;Moldovan Leu;88761;2020-02-20;2020-02-20;7
8;content pixel;55382;2020-02-19;2020-02-20;8
9;Brazil synergies;79009;2020-02-19;2020-02-19;9
10;Keys invoice Junctions;15339;2020-02-19;2020-02-20;10
