id;name;user_id;cron;is_one_time
1;Money Market Account Soap Bulgarian Lev;5140;Grocery Personal Loan Account Shoes;false
2;Customizable parsing;62882;auxiliary Personal Loan Account;false
3;Sleek Rubber Fish Indian Rupee Ngultrum Bedfordshire;4449;Avon Sausages niches;false
4;payment;69918;Metrics Optimization;true
5;invoice Refined Orchestrator;13186;Soft Credit Card Account Trail;true
6;digital redundant;23240;24/365;true
7;Realigned reboot;55814;Uzbekistan Incredible Concrete Tuna;false
8;PNG black scalable;71862;enable;true
9;reinvent Facilitator;75891;vortals;true
10;Centralized connecting;63116;Savings Account quantify;false
