id;name;colour;description;time_zone;enabled;user_id
1;B2C;RAM solution-oriented bricks-and-clicks;Industrial Concrete calculating;Handmade;false;1
2;Bacon;Gorgeous Rubber Pizza Investment Account Ball;Down-sized;Intranet system Bahamian Dollar;true;2
3;deposit;systemic Planner;compressing Coves Rial Omani;Handmade withdrawal parsing;true;1
4;Avon tan;multimedia Shoes;e-tailers Fish architect;Illinois transmitting;false;1
5;bus;Rubber Avon indigo;Representative;Fresh Intelligent Cotton Ball;false;1
6;Soap deposit transparent;Awesome Cotton Table Concrete plum;Chief;Handcrafted Steel Bacon;true;1
7;capability;program;Incredible Concrete Pizza Future-proofed Books;deliverables;true;1
8;Ball payment Graphical User Interface;Angola quantify Books;Car Kansas;Intranet;true;1
9;coherent Investment Account Plastic;empower system;encoding solid state benchmark;matrix Dalasi Pizza;true;2
10;Syrian Arab Republic Granite Brazilian Real;encoding 24/7 Money Market Account;Administrator;azure THX dedicated;true;2
